Ime sestavine,Kolicina,Enota
pšenične ali pirine moke,37.5,g
sladkorja v prahu,5.0,g
soli,0.08333333333333333,kos
drobno naribana lupinica manjše limone,1,kos
hladnega masla,18.333333333333332,g
jajci,0.16666666666666666,kos
1-2 žlici hladne vode,1,kos
rikote,37.5,g
rumenjaka,0.16666666666666666,kos
sladkorja,8.333333333333334,g
vanilijevega sladkorja,0.08333333333333333,kos
limoninega soka,0.16666666666666666,kos
drobno naribana lupinica ene limone,1,kos
ruma ali grappe (po želji),0.08333333333333333,kos
sladkor v prahu za posip,1,kos
