Ime sestavine, Kolicina, Enota
olivnega olja , 0.3333333333333333 , kos
čebula , 0.16666666666666666 , kos
česna , 0.5 , kos
mletega mesa , 100.0 , g
timijana , 0.08333333333333333 , kos
orehovih jedrc (približno eno pest) , 8.333333333333334 , g
suhega belega vina , 0.016666666666666666 , l
masla , 13.333333333333334 , g
moke , 0.3333333333333333 , kos
mleka , 0.13333333333333333 , l
sveže naribanega parmezana , 16.666666666666668 , g
masla za namastitev pekača , 3.3333333333333335 , g
sol; sveže mleti poper in muškatni orešček , 1 , kos
lističev za lazanjo , 50.0 , g
sveže naribanega parmezana za posip , 16.666666666666668 , g
