Ime sestavine,Kolicina,Enota
srednje velika rdeča čebula,0.16666666666666666,kos
2-3 stroki česna,1,kos
velik korenček,0.16666666666666666,kos
rdeče paprike,0.08333333333333333,kos
zamrznjenega graha,13.333333333333334,g
gob,33.333333333333336,g
orehov,8.333333333333334,g
kuhane leče (zelena ali rjava),58.333333333333336,g
ovsene moke,16.666666666666668,g
drobtin,5.0,g
mletih lanenih semen,0.3333333333333333,kos
soli (po okusu),0.125,kos
mletega popra (po okusu),0.041666666666666664,kos
česna v prahu,0.16666666666666666,kos
čebule v prahu,0.16666666666666666,kos
timijana,0.08333333333333333,kos
majarona,0.08333333333333333,kos
svežega nasekljanega peteršilja,0.16666666666666666,kos
suhe zelene,0.08333333333333333,kos
kumina (in ne kumine!),0.08333333333333333,kos
tamari ali svetle sojine omake,0.16666666666666666,kos
tahinija (sezamova pasta),0.16666666666666666,kos
paradižnikovega koncentrata,0.3333333333333333,kos
marmite (ači 2 žlički worchester omake),0.16666666666666666,kos
liquid smoke ali BBQ omake (lahko tudi 3/4 žličke dimljene paprike),0.16666666666666666,kos
kečapa,0.3333333333333333,kos
BBQ omake,0.16666666666666666,kos
dimljene paprike,0.08333333333333333,kos
