Ime sestavine, Kolicina, Enota
kokosovega ali olivnega olja , 0.5 , kos
srednje velika čebula , 0.25 , kos
česna , 0.5 , kos
za palec velik kos svežega ingverja , 1 , kos
srednje pekočega curryja v prahu (lahko tudi curryjeva pasta) , 0.25 , kos
rdeče leče , 0.1875 , kos
pločevinka pasiranega paradižnika (paradižnik v koščkih) , 100.0 , g
vode , 0.625 , kos
kokosovega mleka v pločevinki (pred uporabo dobro pretresemo) , 0.1 , l
sol in sveže mleti poper (po okusu) , 1 , kos
nekaj vejic svežega koriandra (po želji) , 1 , kos
