Ime sestavine,Kolicina,Enota
jajci,0.16666666666666666,kos
sladkorja,8.333333333333334,g
jogurta,0.008333333333333333,l
gladke moke,8.333333333333334,g
olja (navadno ali olivno),0.00625,l
nesladkanega kakava v prahu,1.25,g
pecilnega praška,0.5,g
svežih ali zamrznjenih gozdnih sadežev,33.333333333333336,g
sladkorja,4.166666666666667,g
vode,0.025,l
koruznega škroba,2.5,g
lističi želatine,0.25,kos
mleka,0.04166666666666667,l
sladkorja,4.166666666666667,g
vanilijevega pudinga (prašek),0.16666666666666666,kos
masla,12.5,g
temne čokolade (čokolada za kuhanje),12.5,g
sladke smetane ali smetana za kuhanje,0.0125,l
