Ime sestavine,Kolicina,Enota
olivnega olja,1.0,kos
čebule (ali ena šalotka),0.25,kos
lignjev (očiščeni trupi in lovke),250.0,g
česna,1.0,kos
belega vina,0.025,l
paradižnika v koščkih (1 pločevinka),200.0,g
vode,0.025,l
sol in mleti poper,1,kos
posušenega rožmarina (lahko uporabimo tudi sveži rožmarin),0.125,kos
mletega čilija (po želji),0.5,kos
izkoščičenih zelenih oliv,0.5,kos
3/4 skodelice vode,1,kos
3/4 skodelice mleka,1,kos
sol in mleti poper,1,kos
suhe začimbe (timijan; rožmarin; bazilika ipd.),1,kos
košček masla,1,kos
1/2 skodelice polente za hitro pripravo,1,kos
