Ime sestavine, Kolicina, Enota
sveže listnato testo v roli , 0.3333333333333333 , kos
olja , 0.5 , kos
čebule , 0.16666666666666666 , kos
mletega mesa (govedina; svinjina; mešano) , 100.0 , g
paradižnikovega koncentrata , 0.6666666666666666 , kos
stebelna zelena , 0.3333333333333333 , kos
1-2 paradižnika , 1 , kos
1-2 stroka česna , 1 , kos
sol in mleti poper (po okusu) , 1 , kos
italijanske mešanice začimb (bazilika; origano; rožmarin ipd.) , 0.3333333333333333 , kos
naribanega sira (edamec; mocarela; čedar ipd.) , 20.0 , g
jajci (eno za nadev in eno za premaz) , 0.6666666666666666 , kos
