Ime sestavine, Kolicina, Enota
1 zavitek svežega listnatega testa v rolici (275 g) , 1 , kos
mascarpone sira (lahko tudi kremni sir ali rikota) , 25.0 , g
sladkorja v prahu , 0.16666666666666666 , kos
vanilijeve arome , 0.16666666666666666 , kos
drobno jajce , 0.16666666666666666 , kos
drobno naribana limonina lupinica (po želji) , 1 , kos
4-5 žlic jagodne marmelade , 1 , kos
sveže sadje (po želji) , 1 , kos
mandljevi lističi ali kristalni sladkor (po želji) , 1 , kos
sladkor v prahu za posip , 1 , kos
