Ime sestavine, Kolicina, Enota
toplega mleka , 0.016666666666666666 , l
masla , 6.666666666666667 , g
jajci , 0.16666666666666666 , kos
rumenjak , 0.08333333333333333 , kos
sladkorja , 10.833333333333334 , g
vanilin sladkorja , 0.16666666666666666 , kos
olja , 4.166666666666667 , g
moke , 50.0 , g
suhega kvasa , 0.08333333333333333 , kos
soli , 0.08333333333333333 , kos
mleka , 0.020833333333333336 , l
sladkorja , 8.333333333333334 , g
vanilin sladkorja , 0.08333333333333333 , kos
mletega maka , 33.333333333333336 , g
beljaka , 0.16666666666666666 , kos
rumenjak , 0.08333333333333333 , kos
mleka , 0.08333333333333333 , kos
sladkor v prahu za posip , 1 , kos
