Ime sestavine, Kolicina, Enota
ovsenih kosmičev (1 skodelica) , 16.0 , g
ovsene moke (1 skodelica) , 16.0 , g
mandljeve moke (1/2 skodelice) , 9.0 , g
soli , 0.2 , kos
pretlačene banane ali jabolčnega pireja , 16.0 , g
agavinega ali javorjevega sirupa , 12.0 , g
svežih ali zamrznjenih malin , 40.0 , g
eritritola , 0.4 , kos
limoninega soka , 0.2 , kos
chia semen , 2.0 , g
1 1/2 -2 žlički koruznega škroba , 1 , kos
vanilijevega pudinga (prašek) , 0.1 , kos
poljubnega rastlinskega napitka , 0.05 , l
poljubno sladilo (po okusu) , 1 , kos
sveže maline za dekoracijo , 1 , kos
