Ime sestavine, Kolicina, Enota
hobotnica , 0.25 , kos
večji krompirji , 0.75 , kos
kaper , 0.25 , kos
črnih oliv , 0.5 , kos
olivnega olja , 0.075 , l
limet , 1.25 , kos
rožmarina , 1.25 , kos
timijan , 1 , kos
rumena paprika , 0.25 , kos
rdeča paprika , 0.25 , kos
kosa testa za spomladanke zavitke , 0.5 , kos
agar agar , 1 , kos
šalotka , 0.25 , kos
por , 0.25 , kos
česna , 1.25 , kos
ribje osnove , 0.025 , l
suhega belega vina , 0.075 , l
panko drobtine , 1 , kos
sončnično olje za cvrtje , 1 , kos
maslo , 1 , kos
