Ime sestavine,Kolicina,Enota
vode,87.5,g
masla,37.5,g
bele moke,45.0,g
jajc,1.3333333333333333,kos
jajce za premaz,0.16666666666666666,kos
mandljevi lističi za posip,1,kos
olupljenih lešnikov,10.0,g
vode,0.0075,l
sladkorja,11.666666666666666,g
javorjevega sirupa,10.0,g
solnega cveta,0.16666666666666666,kos
pecilnega praška,0.16666666666666666,kos
mleka,75.0,g
vanilijev strok,0.16666666666666666,kos
sladkorja,19.166666666666668,g
rumenjaki,0.6666666666666666,kos
masla,5.0,g
škroba,5.0,g
na sobno temperaturo ogretega masla,37.5,g
