Ime sestavine,Kolicina,Enota
gosjih jeter,83.33333333333333,g
smetane,33.333333333333336,g
želatine,0.8333333333333334,g
prepraženih lešnikov,0.3333333333333333,kos
hobotnica,0.3333333333333333,kos
čebula,0.3333333333333333,kos
česna,1.0,kos
olivno olje,1,kos
ribje osnove,0.06666666666666667,l
belega vina,0.06666666666666667,l
sojine omake,1.6666666666666667,kos
miso paste,1.0,kos
rjavega sladkorja,0.3333333333333333,kos
račja prsa,0.3333333333333333,kos
sol in mleti poper,1,kos
sok polovice pomaranče,1,kos
krompirjevega pireja,50.0,g
masla,33.333333333333336,g
moke,33.333333333333336,g
mleka,16.666666666666668,g
jajca,1.0,kos
kvasa,6.666666666666667,g
sol,1,kos
višenj,66.66666666666667,g
omaka; v kateri se je kuhala hobotnica,1,kos
belega vina,0.03333333333333333,l
sol in mleti poper,1,kos
