Ime sestavine,Kolicina,Enota
večji krompirji,1.0,kos
olivno olje,1,kos
ribje osnove,0.3333333333333333,l
rožmarina,0.3333333333333333,kos
timijana,0.3333333333333333,kos
kos svežega ingverja,0.3333333333333333,kos
file grdobine (približno 400 - 500 g),0.3333333333333333,kos
česna,1.0,kos
jajci,0.6666666666666666,kos
rumenjaka,0.6666666666666666,kos
sončničnega olja,0.08333333333333334,l
limetin sok,1,kos
sol,1,kos
2-3 zreli avokadi,1,kos
sveže bazilike,0.3333333333333333,kos
moke,3.3333333333333335,g
vode,13.333333333333334,g
sončničnega olja,20.0,g
sipinega črnila,0.3333333333333333,kos
česen v prahu,1,kos
fige,1.0,kos
konjak,1,kos
na kocke narezano maslo,1,kos
