Ime sestavine, Kolicina, Enota
kosa račjih prsi , 0.6666666666666666 , kos
miso paste , 1.3333333333333333 , kos
riževega kisa , 0.3333333333333333 , kos
slivove marmelade , 0.6666666666666666 , kos
svetle sojine omake , 0.6666666666666666 , kos
graha , 116.66666666666667 , g
smetane , 50.0 , g
jajc , 43.333333333333336 , g
sol , 1 , kos
sladkor , 1 , kos
mesne osnove , 0.1 , l
slivove marmelade , 0.3333333333333333 , kos
hoisin omake , 0.3333333333333333 , kos
svetle sojine omake , 0.6666666666666666 , kos
sok polovice pomaranče , 1 , kos
zvezdnata janeža , 0.6666666666666666 , kos
čebule , 0.16666666666666666 , kos
česna , 1.0 , kos
2 cm velik kos ingverja , 1 , kos
mladega graha , 66.66666666666667 , g
masla , 3.3333333333333335 , g
sol , 1 , kos
