Ime sestavine, Kolicina, Enota
kos svinjske potrebuševine , 1 , kos
olje , 1 , kos
čebula , 0.16666666666666666 , kos
črnega česna , 0.16666666666666666 , kos
rjavega sladkorja , 0.3333333333333333 , kos
temne sojine omake , 0.5 , kos
mlete kumine , 0.16666666666666666 , kos
mirina (japonsko sladko riževo vino) , 0.8333333333333334 , kos
riževega kisa , 0.3333333333333333 , kos
telečja osnova , 1 , kos
koruzne moke , 16.666666666666668 , g
olja , 16.666666666666668 , g
vode , 0.06666666666666667 , l
zeleni jabolki , 0.3333333333333333 , kos
steblo zelene , 0.16666666666666666 , kos
sok ene limete , 1 , kos
svežega koriandra , 0.16666666666666666 , kos
