Ime sestavine, Kolicina, Enota
jajca , 0.3333333333333333 , kos
sladkorja , 6.666666666666667 , g
vanili sladkorja , 0.08333333333333333 , kos
čokolade , 4.166666666666667 , g
grenkega kakava v prahu , 4.166666666666667 , g
moke , 8.333333333333334 , g
pecilnega praška , 0.041666666666666664 , kos
bele čokolade , 12.5 , g
sladke smetane , 0.016666666666666666 , l
mascarpone sira , 8.333333333333334 , g
listov želatine , 0.4166666666666667 , kos
bučnega olja , 0.4166666666666667 , kos
nesoljenih bučnih semen , 4.166666666666667 , g
sladke smetane , 0.016666666666666666 , l
mascarpone sira , 8.333333333333334 , g
vanilijev strok , 0.08333333333333333 , kos
sladke smetane , 0.0125 , l
bele čokolade , 8.333333333333334 , g
bučnega olja , 0.16666666666666666 , kos
listi želatine , 0.25 , kos
limetinega soka , 0.03333333333333333 , l
vode , 0.008333333333333333 , l
sladkorja , 6.666666666666667 , g
listov želatine , 0.5 , kos
