Ime sestavine,Kolicina,Enota
moke,100.0,g
mlačne vode,0.05,l
soli,0.6666666666666666,kos
masla,0.6666666666666666,kos
česna,0.3333333333333333,kos
velik korenček,0.3333333333333333,kos
čebuli,0.6666666666666666,kos
narezane stebelne zelene,0.6666666666666666,kos
narezane gomoljne zelene,0.3333333333333333,kos
krompirja,0.6666666666666666,kos
sladki krompir,0.3333333333333333,kos
česna,0.6666666666666666,kos
rdečega vina,0.05,l
olja,0.6666666666666666,kos
peteršilja,0.3333333333333333,kos
timijana,0.3333333333333333,kos
rdečega fižola,0.3333333333333333,kos
čičerike,0.3333333333333333,kos
piščančje jušne osnove,0.16666666666666666,l
paradižnikovega koncentrata,0.6666666666666666,kos
pasiranega paradižnika (pasata),0.06666666666666667,l
sladkorja,0.3333333333333333,kos
sol in mleti poper po okusu,1,kos
