Ime sestavine, Kolicina, Enota
piščančjih prsi brez kosti in kože (lahko tudi stegna) , 125.0 , g
jajce , 0.25 , kos
drobtin , 7.5 , g
česna , 0.75 , kos
pest bazilike , 0.25 , kos
sušenih paradižnikov v olju , 5.0 , g
origana , 0.25 , kos
paprike v prahu , 0.125 , kos
žlička soli , 0.25 , kos
mleti poper po okusu , 1 , kos
lonček grškega jogurta , 0.25 , kos
olivnega olja , 0.25 , kos
strt strok česna , 0.25 , kos
nasekljanega drobnjaka , 0.25 , kos
limoninega soka , 0.25 , kos
sol in mleti poper (po okusu) , 1 , kos
