Ime sestavine, Kolicina, Enota
piščančjih prsi brez kosti in kože (ali piščančja bedra brez kosti in kože) , 125.0 , g
olivno olje , 1 , kos
bučka , 0.25 , kos
jajčevca , 0.125 , kos
masla , 0.25 , kos
balzamičnega kisa , 0.5 , kos
grškega jogurta , 37.5 , g
česna , 0.5 , kos
suhega drobnjaka (ali 1 žlica svežega) , 0.125 , kos
manjša kumara , 0.25 , kos
češnjevega paradižnika , 0.25 , kos
paprike , 0.125 , kos
avokado , 0.25 , kos
nasekljanih oliv , 0.5 , kos
rdeče čebule , 0.125 , kos
sol in mleti poper , 1 , kos
glave mladega zelja , 0.125 , kos
humusa , 50.0 , g
tortilje , 1 , kos
