Ime sestavine,Kolicina,Enota
beljaka,0.3333333333333333,kos
sladkorja,8.333333333333334,g
rdeče barvilo,1,kos
mletih mandljev,12.5,g
sladkorja v prahu,19.166666666666668,g
ruby čokolade,16.666666666666668,g
sladke smetane,13.333333333333334,g
sveže maline,1,kos
mleka,16.666666666666668,g
sladke smetane,16.666666666666668,g
vrtnični cvetovi,1,kos
ruby čokolade,16.666666666666668,g
jajca,0.6666666666666666,kos
moke,13.333333333333334,g
slasdkorja,4.166666666666667,g
rdeče barvilo,1,kos
malin,83.33333333333333,g
sladkorja,15.0,g
želina (1:1),1.6666666666666667,g
vrtnični cvetovi,1,kos
limonin sok (po potrebi),1,kos
vode,33.333333333333336,g
sladkor,1,kos
sveža meta,1,kos
agarja,0.4166666666666667,g
ruby čokolada,1,kos
