Ime sestavine, Kolicina, Enota
koruznega tortilja čipsa , 0.8333333333333334 , kos
2-3 žlice olja , 1 , kos
srednje velika čebula , 0.16666666666666666 , kos
mletega govejega ali mešanega mesa , 83.33333333333333 , g
paradižnika v koščkih (lahko tudi pelati ali pasiran paradižnik) , 0.3333333333333333 , kos
rdečega fižola , 0.16666666666666666 , kos
sladke koruze (160 g) , 0.16666666666666666 , kos
naribanega čedar ali kakšnega drugega sira; ki se dobro topi (edamec; provolone ipd.) , 33.333333333333336 , g
sol (po okusu) , 1 , kos
mleti čili (po okusu) , 1 , kos
mleta kumina ali kumin (po okusu) , 1 , kos
