Ime sestavine, Kolicina, Enota
olja , 0.25 , kos
srednje velika čebula , 0.25 , kos
belega kruha (brez skorje) , 30.0 , g
malo mleka (lahko tudi voda) , 1 , kos
mletega govejega mesa , 62.5 , g
mletega svinjskega mesa , 62.5 , g
jajce , 0.25 , kos
nekaj vejic svežega peteršilja , 1 , kos
vloženih kaper , 0.25 , kos
sol in mleti poper po okusu , 1 , kos
liter goveje jušne osnove , 1 , kos
masla , 0.5 , kos
moke , 0.5 , kos
precejene goveje osnove , 0.125 , l
vloženih kaper , 0.25 , kos
limoninega soka , 0.25 , kos
crème fraiche , 30.0 , g
belega vina , 0.0625 , l
sladkorja , 0.25 , kos
sol in mleti poper , 1 , kos
rumenjaka , 0.5 , kos
