Ime sestavine, Kolicina, Enota
ovsenih kosmičev , 0.5 , kos
nesladkanega rastlinskega mleka (kokosovo; lešnikovo; mandljevo; ovseno ipd.) , 0.6666666666666666 , kos
mletega cimeta , 0.6666666666666666 , kos
jabolko , 0.3333333333333333 , kos
chia semen , 0.6666666666666666 , kos
medu , 0.5 , kos
grobo sesekljanih orehov , 1.0 , kos
mletih lanenih semen , 0.3333333333333333 , kos
jabolki , 0.6666666666666666 , kos
1-2 žlici grobo sesekljanih orehov , 1 , kos
mletega cimeta , 0.3333333333333333 , kos
