Ime sestavine, Kolicina, Enota
ovsenih kosmičev , 15.0 , g
nasekljanih oreščkov (mandlji; orehi; lešniki ipd.) , 3.75 , g
soli , 0.125 , kos
mletega cimeta , 0.03125 , kos
medu , 0.375 , kos
gladkega mandljevega masla (lahko tudi arašidovo ali lešnikovo) , 0.25 , kos
velik beljak , 0.125 , kos
rastlinsko olje za namastitev (sončnično; kokosovo ipd.) , 1 , kos
grškega jogurta (lahko tudi rastlinski jogurt; kot je kokosov ali mandljev) , 31.25 , g
poljubno sveže sadje (jagode; maline; borovnice; banane; mango ipd.) , 1 , kos
