Ime sestavine, Kolicina, Enota
olivnega olja , 0.5 , kos
srednja čebula , 0.25 , kos
česna , 0.5 , kos
zelenjavne jušne osnove (lahko je tudi kokošja; ali pa jušna kocka; raztopljena v vroči vodi) , 0.25 , l
paradižnika v koščkih (400 g) , 0.25 , kos
lovorov list , 0.25 , kos
suhega origana , 0.125 , kos
suhe bazilike , 0.125 , kos
sirovih tortelinov (lahko tudi kapeleti; ravioli; mošnjički ipd.) , 62.5 , g
sveže mlade špinače , 50.0 , g
sol in mleti poper po okusu , 1 , kos
nariban parmezan (po želji) , 1 , kos
