Ime sestavine, Kolicina, Enota
češnjevih paradižnikov na vejah , 125.0 , g
olivnega olja , 0.375 , kos
sol , 1 , kos
olivnega olja , 0.5 , kos
srednje velika čebula (ali 2 šalotki) , 0.25 , kos
česna , 0.5 , kos
arborio riža , 62.5 , g
belega vina , 1.0 , kos
zelenjavne jušne osnove , 0.2 , l
zreli paradižniki , 1.0 , kos
posušenih; v olje vloženih paradižnikov , 1.25 , kos
mascarponeja , 0.5 , kos
sol in sveže mleti poper , 1 , kos
sveže bazilike , 7.5 , g
pinjol , 12.5 , g
naribanega parmezana , 0.75 , kos
olivnega olja , 0.75 , kos
sol in mleti poper , 1 , kos
