Ime sestavine, Kolicina, Enota
moke , 41.666666666666664 , g
sladkorja , 16.666666666666668 , g
pecilnega praška , 0.16666666666666666 , kos
soli , 0.16666666666666666 , kos
naribana lupinica ene limone , 1 , kos
hladnega masla , 18.333333333333332 , g
veliko jajce , 0.16666666666666666 , kos
rumenjak , 0.16666666666666666 , kos
rumenjaka , 0.3333333333333333 , kos
sladkorja , 0.3333333333333333 , kos
koruznega škroba (15 g) , 0.3333333333333333 , kos
naribana lupinica ene limone , 1 , kos
mleka , 0.041666666666666664 , l
masla , 1.6666666666666667 , g
sladkor v prahu za posip , 1 , kos
