Ime sestavine,Kolicina,Enota
beljaka,1.0,kos
sladkorja,1.0,kos
sladke smetane,0.1,l
listi želatine,1.5,kos
pomarančnega soka,50.0,g
grenadin sirupa,50.0,g
brusničnega soka,40.0,g
kandiranih pomaranč,15.0,g
lista želatine,1.0,kos
beljaki,1.5,kos
sladkorja,100.0,g
pomarančnega soka,25.0,g
pomarančna lupinica,1,kos
jajci,1.0,kos
sladkorja,1.0,kos
olja,1.0,kos
moke,1.5,kos
pecilnega praška,0.5,kos
pomarančna lupinica,1,kos
breskov sok,1,kos
breskov liker,1,kos
pomaranče,0.25,kos
granatno jabolko,0.25,kos
vodka,1,kos
