Ime sestavine, Kolicina, Enota
ovsenih kosmičev , 29.166666666666668 , g
rjavega sladkorja , 11.666666666666666 , g
drobno naribana pomarančna lupinica , 1 , kos
soli , 0.3333333333333333 , kos
mletega cimeta , 0.16666666666666666 , kos
orehov , 10.0 , g
temnih čokoladnih kapljic (na koščke narezana temna čokolada) , 10.0 , g
jagod , 28.333333333333332 , g
banana , 0.16666666666666666 , kos
jajce , 0.16666666666666666 , kos
mleka , 0.08333333333333333 , l
masla , 6.666666666666667 , g
vanilijevega izvlečka (aroma) , 0.16666666666666666 , kos
