Ime sestavine, Kolicina, Enota
na sobno temperaturo ogretega masla , 8.333333333333334 , g
sladkorja , 4.166666666666667 , g
veliki rumenjaki , 0.25 , kos
vanilijevega ekstrakta , 0.08333333333333333 , kos
moke , 20.833333333333332 , g
pecilnega praška , 0.08333333333333333 , kos
soli , 0.08333333333333333 , kos
marmelade iz jagodičevja (ribez; maline; mešano sadje ipd.) , 12.5 , g
limonin sok (po želji) , 1 , kos
veliki beljaki , 0.25 , kos
sladkorja , 12.5 , g
koruznega škroba , 0.08333333333333333 , kos
kokosove moke ali nastrganega kokosa , 8.333333333333334 , g
