Ime sestavine, Kolicina, Enota
olivnega olja , 0.5 , kos
srednje velika čebula , 0.25 , kos
rdeče paprike , 0.125 , kos
zelene paprike , 0.125 , kos
česna , 0.5 , kos
mletega mesa (goveje; mešano; piščančje) , 125.0 , g
paradižnikovega koncentrata , 0.625 , kos
mletega kumina (po želji) , 0.125 , kos
sol in mleti poper po okusu , 1 , kos
kajenskega popra , 0.0625 , kos
lovorov list , 0.25 , kos
dolgozrnatega riža , 56.25 , g
jušne osnove (goveja; piščančja ali zelenjavna) , 0.125 , l
zamrznjene koruze , 0.5 , kos
pločevinka rdečega fižola , 47.5 , g
