Ime sestavine, Kolicina, Enota
piščančjih hrbtov , 125.0 , g
čebule , 0.125 , kos
gomoljne in korenaste zelenjave (korenje; peteršiljeva korenina; zelena) , 75.0 , g
lovorov list , 0.25 , kos
poprovih zrn , 0.25 , kos
soli , 0.25 , kos
moke , 10.0 , g
jajce , 0.25 , kos
soli , 0.25 , kos
sesekljanega peteršilja , 0.75 , kos
česna , 0.25 , kos
naribanega parmezana , 0.25 , kos
soli , 0.5 , kos
olivnega olja , 1.0 , kos
piščančjih prsi brez kosti in kože , 25.0 , g
sladke smetane za stepanje , 0.75 , kos
