Ime sestavine, Kolicina, Enota
olivno olje , 1 , kos
čebula , 0.25 , kos
rezina gomoljne zelene (po želji) , 0.25 , kos
česna , 0.25 , kos
peteršiljeva korenina (po želji) , 0.25 , kos
sveže paprike , 0.125 , kos
piščančje meso (2 krači; 2 petutnički ...) , 1 , kos
malo ostre moke , 1 , kos
mlete sladke paprike , 0.5 , kos
sol in mleti poper , 1 , kos
korenčka , 0.5 , kos
3 - 4 krompirji , 1 , kos
piščančje osnove (2 kocki; raztopljeni v 2 litrih vroče vode) , 0.5 , l
lovorjeva lista , 0.5 , kos
paradižnikove mezge , 0.25 , kos
nasekljan peteršilj za okras , 1 , kos
jajci , 0.5 , kos
kisle smetane , 0.25 , kos
sol , 1 , kos
moke , 1.0 , kos
pšeničnega zdroba , 0.75 , kos
