Ime sestavine, Kolicina, Enota
olja , 0.5 , kos
kosov piščančjega mesa s kožo ali brez (bedra; stegno; perutničke) , 1.5 , kos
čebula , 0.25 , kos
večja korenčka , 0.5 , kos
peteršiljeva korenina , 0.25 , kos
zelena (kos gomolja ali 2 stebli stebelne zelene) , 1 , kos
česna , 0.5 , kos
zamrznjenega graha , 37.5 , g
poljubne začimbe (peteršilj; majaron; timijan; lovorjev list; limonina lupina ipd.) , 1 , kos
sol in mleti poper (po okusu) , 1 , kos
vode , 0.3 , l
srednje veliko jajce , 0.25 , kos
stopljenega masla , 10.0 , g
soli , 0.25 , kos
pšeničnega zdroba , 20.0 , g
