Ime sestavine, Kolicina, Enota
olivnega olja , 0.5 , kos
polovičke piščančjih prsi (piščančji prsni file) , 1.0 , kos
posušene bazilike , 0.5 , kos
sol in sveže mleti poper , 1 , kos
masla , 0.25 , kos
srednje velika čebula , 0.25 , kos
česna , 0.5 , kos
piščančje jušne osnove (ali suho belo vino) , 0.03 , l
paradižnika v koščkih (1 pločevinka) , 100.0 , g
paradižnikovega koncentrata , 0.5 , kos
sladke smetane (smetana za kuhanje) , 0.02 , l
posušenega origana , 0.25 , kos
svež peteršilj (po želji) , 1 , kos
