Ime sestavine,Kolicina,Enota
olivnega olja,0.25,kos
piščančjih stegen,1.3333333333333333,kos
dimljene sladke paprike,0.16666666666666666,kos
sol in poper,1,kos
čebula,0.16666666666666666,kos
česna,0.6666666666666666,kos
rdeč čili,0.16666666666666666,kos
5-6 timijanovih vejic,1,kos
pasiranega paradižnika,66.66666666666667,g
rdečega vinskega kisa,0.16666666666666666,kos
rdeče paprike,0.08333333333333333,kos
izkoščičenih zelenih oliv,0.16666666666666666,kos
belega fižola v pločevinki,66.66666666666667,g
