Ime sestavine, Kolicina, Enota
veliko jabolko (npr. Granny Smith) , 0.08333333333333333 , kos
limoninega soka , 0.08333333333333333 , kos
zmehčanega; na sobno temperaturo ogretega masla , 10.0 , g
rjavega sladkorja (demerara) , 9.166666666666666 , g
belega sladkorja , 4.166666666666667 , g
jajce , 0.08333333333333333 , kos
vanilijeve arome , 0.08333333333333333 , kos
ovsenih kosmičev , 10.0 , g
polnozrnate pšenične ali pirine moke , 10.833333333333334 , g
pecilnega praška , 0.08333333333333333 , kos
mletega cimeta , 0.041666666666666664 , kos
mletih klinčkov , 0.020833333333333332 , kos
mletega ingverja , 0.020833333333333332 , kos
