Ime sestavine, Kolicina, Enota
svežih češenj , 83.33333333333333 , g
sladkorja , 8.333333333333334 , g
hladne vode , 8.333333333333334 , g
koruznega škroba , 1.6666666666666667 , g
1 paket Savoiardi piškotov ((lahko tudi bebe ali lady fingers) , 1 , kos
mleka , 0.03333333333333333 , l
rumenjaki , 0.6666666666666666 , kos
sladkorja , 20.833333333333332 , g
vode , 0.0033333333333333335 , l
maskarpone sira , 41.666666666666664 , g
pistacijeve 100 % paste , 16.666666666666668 , g
sladke smetane , 58.333333333333336 , g
