Ime sestavine, Kolicina, Enota
praška za vanilijev puding , 0.08333333333333333 , kos
sladkorja , 0.5 , kos
mleka , 0.041666666666666664 , l
grškega jogurta , 25.0 , g
jajce , 0.16666666666666666 , kos
moke , 21.666666666666668 , g
sladkorja v prahu , 6.666666666666667 , g
soli , 0.16666666666666666 , kos
hladnega masla , 13.333333333333334 , g
rumenjak , 0.16666666666666666 , kos
1-2 žlici hladne vode , 1 , kos
svežih jagod , 33.333333333333336 , g
svežih jagod , 41.666666666666664 , g
sladkorja v prahu (po želji tudi več) , 0.3333333333333333 , kos
limoninega soka , 0.16666666666666666 , kos
