Ime sestavine, Kolicina, Enota
gladke moke , 43.75 , g
soli , 0.125 , kos
pecilnega praška , 0.1875 , kos
nesladkanega kakava v prahu , 0.25 , kos
vanilijevega sladkorja , 0.125 , kos
sladkorja , 13.75 , g
hladnega; na kocke narezanega masla , 25.0 , g
rumenjaka , 0.25 , kos
hladne vode , 0.5 , kos
čvrstih jabolk , 150.0 , g
vode , 0.01875 , l
limoninega soka , 0.125 , kos
limonina lupina , 1 , kos
mletega cimeta , 0.125 , kos
sladkorja , 0.5 , kos
pudinga , 0.1875 , kos
sladkorja , 1.125 , kos
mleka , 0.09375 , l
beljaka , 0.25 , kos
kisle smetane , 0.375 , kos
sladkor v prahu za posip , 1 , kos
