Ime sestavine, Kolicina, Enota
moke , 41.666666666666664 , g
sladkorja v prahu , 8.333333333333334 , g
soli , 0.3333333333333333 , kos
pecilnega praška , 0.08333333333333333 , kos
hladnega masla , 20.0 , g
rumenjak , 0.16666666666666666 , kos
2-3 žlice hladne vode , 1 , kos
zmehčanega masla , 11.666666666666666 , g
sladkorja , 11.666666666666666 , g
jajce , 0.16666666666666666 , kos
beljak , 0.16666666666666666 , kos
mletih mandljev , 10.0 , g
moke , 3.3333333333333335 , g
približno 6 zrelih; a ne preveč mehkih marelic , 1 , kos
