Ime sestavine, Kolicina, Enota
moke , 31.25 , g
sladkorja v prahu , 6.25 , g
soli , 0.125 , kos
pecilnega praška , 0.625 , g
hladnega masla , 18.75 , g
srednje veliko jajce , 0.125 , kos
1-2 žlici hladnega mleka ali vode (po potrebi) , 1 , kos
rikote , 43.75 , g
naribana lupinica ene bio limone , 1 , kos
kristalnega sladkorja , 10.0 , g
vanilijevega sladkorja , 0.125 , kos
jajce , 0.125 , kos
2-3 srednje velika jabolka , 1 , kos
sok polovice limone , 1 , kos
1-2 žlici kristalnega sladkorja (za posip) , 1 , kos
sladkor v prahu (za posip) , 1 , kos
