Ime sestavine, Kolicina, Enota
moke , 37.5 , g
kocka kvasa (ali malo manj; če vas okus po kvasu preveč moti) , 0.08333333333333333 , kos
sladkorja , 0.25 , kos
vanilin sladkor , 0.08333333333333333 , kos
jajci , 0.16666666666666666 , kos
rumenjak , 0.08333333333333333 , kos
soli , 0.08333333333333333 , kos
mleka , 0.0125 , l
olja , 0.004166666666666667 , l
skute , 41.666666666666664 , g
sladkorja , 0.25 , kos
vaniin sladkorja , 0.08333333333333333 , kos
jajce , 0.08333333333333333 , kos
beljak , 0.08333333333333333 , kos
suhega pehtrana (dve vrečki) ali ena pest svežega in na drobno nasekljanega pehtrana , 1.1666666666666667 , g
sladkor v prahu za posip , 1 , kos
