Ime sestavine, Kolicina, Enota
olivnega olja , 0.5 , kos
čebule , 0.125 , kos
steblo zelene , 0.25 , kos
1-2 korenčka , 1 , kos
česna , 0.5 , kos
manjši bučki , 0.5 , kos
rumene ali rdeče paprike , 0.125 , kos
srednje velika paradižnika , 0.5 , kos
približno 1.5 litra jušne osnove (za vegetarijansko različico uporabimo zelenjavno osnovo) , 1 , kos
lovorjev list , 0.25 , kos
svežih timijanovih listkov (ali 0.5 žličke posušenega) , 0.25 , kos
drobnih jušnih testenin , 0.5 , kos
izluščenega graha (lahko uporabimo tudi zamrznjenega) , 0.25 , kos
sol in mleti poper , 1 , kos
sveža bazilika za serviranje , 1 , kos
sveže nariban parmezan za serviranje , 1 , kos
