Ime sestavine, Kolicina, Enota
srednje velikih paprik , 1.5 , kos
arborio riža , 50.0 , g
poljubnih gob (lisičke; jurčki; šampinjoni) , 100.0 , g
čebula , 0.25 , kos
česna , 1.0 , kos
janeževih semen , 0.25 , kos
timijana , 2.0 , kos
peteršilja , 0.25 , kos
olivnega olja , 0.5 , kos
masla , 0.5 , kos
paprike v prahu , 0.25 , kos
lovorjeva lista , 0.5 , kos
pelatov (800 g) , 0.5 , kos
jušna osnova ali voda (približno 0;5 l) , 1 , kos
sol in mleti poper , 1 , kos
kisla smetana ali grški jogurt (za serviranje) , 1 , kos
