Ime sestavine, Kolicina, Enota
moke , 40.0 , g
soli , 0.06666666666666667 , kos
svežega kvasa , 2.0 , g
toplega mleka , 0.016666666666666666 , l
rumenjaki , 0.2 , kos
sladkorja , 6.0 , g
masla , 6.0 , g
ruma , 0.2 , kos
naribana limonina lupinica , 1 , kos
jajca , 0.2 , kos
sladkorja , 4.0 , g
moke , 5.0 , g
pecilnega praška , 0.03333333333333333 , kos
jajca , 0.2 , kos
sladkorja , 4.0 , g
moke , 4.0 , g
kakava v prahu , 1.0 , g
pecilnega praška , 0.03333333333333333 , kos
polnomastne skute , 33.333333333333336 , g
jajci , 0.13333333333333333 , kos
sladkorja , 6.0 , g
kisle smetane , 0.06666666666666667 , kos
praška za vanilijev puding , 0.06666666666666667 , kos
vanilijeva pasta ali aroma , 1 , kos
limonina lupinica , 1 , kos
mlečne čokolade , 36.0 , g
vode , 0.2 , kos
velika kisla smetana , 0.06666666666666667 , kos
mletih orehov , 10.0 , g
ruma , 0.2 , kos
mletih orehov , 26.666666666666668 , g
sladkorja , 8.0 , g
sladke smetane , 0.02666666666666667 , l
jajce , 0.06666666666666667 , kos
beljaki (ostanejo od kvašenega testa) , 0.2 , kos
ruma , 0.2 , kos
cimeta , 0.06666666666666667 , kos
