Ime sestavine,Kolicina,Enota
mleka,0.08333333333333333,l
vanilijeve paste,0.08333333333333333,kos
rumenjaki,0.6666666666666666,kos
sladkorja,6.666666666666667,g
koruznega škroba,5.0,g
temne čokolade za kuhanje (lahko tudi temne čokoladne kapljice),20.0,g
mascarponeja,41.666666666666664,g
sladke smetane za stepanje,0.03333333333333333,l
sladkorja v prahu,8.333333333333334,g
vanilijeve paste,0.08333333333333333,kos
zamrznjenih gozdnih sadežev,41.666666666666664,g
sladkorja (po želji tudi več),0.3333333333333333,kos
naribana čokolada,1,kos
višnje v sirupu (po želji),1,kos
