Ime sestavine, Kolicina, Enota
mascarponeja , 31.25 , g
pasirane skute (lahko tudi odcejen grški jogurt ali Quark) , 31.25 , g
sladkorja v prahu , 0.375 , kos
vanilijeve arome (vanilijev ekstrakt ali pasta) , 0.125 , kos
naribane limonine lupinice , 0.03125 , kos
sladke smetane za stepanje , 0.025 , l
svežih jagod (400-500 g jagod) , 0.375 , kos
limoninega soka , 0.125 , kos
sladkorja v prahu (po potrebi več) , 0.125 , kos
nadrobljenih ali zmletih piškotov (masleni; čokoladni; polnozrnati ipd.) , 15.0 , g
sveže jagode za dekoracijo , 1 , kos
sveža meta za dekoracijo , 1 , kos
