Ime sestavine, Kolicina, Enota
prosene kaše , 0.3333333333333333 , kos
vode , 0.6666666666666666 , kos
soli , 0.16666666666666666 , kos
cimetova palčka , 0.16666666666666666 , kos
kos limonine lupinice , 1 , kos
sladkorja , 16.666666666666668 , g
vanilijevega sladkorja , 0.16666666666666666 , kos
srednje velika jajca , 0.5 , kos
skute , 41.666666666666664 , g
kisle smetane , 20.0 , g
limone (sok in naribana lupinica) , 0.08333333333333333 , kos
jabolka , 0.5 , kos
sladkor v prahu za posip , 1 , kos
