Ime sestavine, Kolicina, Enota
namenske moke za krofe , 20.0 , g
ostre moke , 20.0 , g
soli , 0.04 , kos
mleka , 0.016 , l
svežega kvasa , 3.2 , g
rumenjakov , 0.32 , kos
sladkorja , 4.0 , g
vanilijeva sladkorja , 0.08 , kos
rastlinskega olja , 0.0024 , l
naribana limonina lupinica , 1 , kos
ruma , 0.08 , kos
bele čokolade , 12.0 , g
olja , 0.0012 , l
kokosova moka; drobljeni mandlji , 1 , kos
mleka , 0.014 , l
sladke smetane , 0.006 , l
rumenjaki , 0.16 , kos
sladkorja , 2.8 , g
koruznega škroba , 1.8 , g
bele čokolade , 6.0 , g
vanilijeve paste , 0.04 , kos
kokosove moke , 4.0 , g
stepene sladke smetane , 12.0 , g
