Ime sestavine, Kolicina, Enota
moke , 35.0 , g
sladkorja , 8.333333333333334 , g
pecilnega praška , 0.16666666666666666 , kos
sode bikarbone , 0.08333333333333333 , kos
soli , 0.16666666666666666 , kos
mleka , 0.04 , l
rikote , 30.0 , g
jajca , 0.5 , kos
vanilijevega ekstrakta , 0.16666666666666666 , kos
1-2 žlici naribane limonine lupinice (po okusu) , 1 , kos
sveže stisnjenega limoninega soka , 0.01 , l
stopljenega masla , 2.5 , g
dodatno maslo; kokosova maščoba ali olje za peko palačink , 1 , kos
sladkor v prahu za posip , 1 , kos
