Ime sestavine, Kolicina, Enota
ješprenja , 50.0 , g
suhega fižola , 33.333333333333336 , g
prekajenega mesa , 83.33333333333333 , g
čebula , 0.16666666666666666 , kos
česna , 0.3333333333333333 , kos
korenčka , 0.3333333333333333 , kos
koleraba , 0.16666666666666666 , kos
peteršiljeva korenina , 0.16666666666666666 , kos
gomolja zelene , 0.041666666666666664 , kos
krompirja , 66.66666666666667 , g
peteršilja , 0.041666666666666664 , kos
lovorjev list , 0.16666666666666666 , kos
sol in sveže mleti poper , 1 , kos
