Ime sestavine, Kolicina, Enota
rjavega riža , 25.0 , g
leče , 25.0 , g
sol , 1 , kos
bučka ali jajčevec , 0.25 , kos
paprika , 0.25 , kos
olivno olje , 1 , kos
korenček , 0.25 , kos
avokada , 0.375 , kos
jajci , 0.5 , kos
humusa , 50.0 , g
mehkega kozjega sira , 50.0 , g
lanenih semen , 0.5 , kos
avokada , 0.125 , kos
jabolčnega kisa , 0.5 , kos
olivnega olja , 0.5 , kos
medu , 0.25 , kos
sok polovice limone , 1 , kos
manjši strok česna , 0.25 , kos
sveže bazilike , 0.25 , kos
kajenskega popra , 0.25 , kos
sol , 1 , kos
