Ime sestavine, Kolicina, Enota
čebule , 0.016666666666666666 , kos
krušnih drobtin , 1.3333333333333333 , g
mletega govejega mesa , 16.666666666666668 , g
česna , 0.03333333333333333 , kos
jajce , 0.03333333333333333 , kos
kečapa , 0.06666666666666667 , kos
omake worchester , 0.03333333333333333 , kos
gorčice , 0.1 , kos
olja , 0.03333333333333333 , kos
čebule , 0.016666666666666666 , kos
svežih šampinjonov , 6.666666666666667 , g
masla , 0.06666666666666667 , kos
moke , 0.06666666666666667 , kos
goveje jušne osnove (lahko tudi voda; v kateri je raztopljena jušna kocka) , 0.016666666666666666 , l
od 100 - 150 ml vode (po potrebi) , 1 , kos
gorčice , 0.06666666666666667 , kos
omake worchester , 0.06666666666666667 , kos
sol in sveže mleti poper (po okusu) , 1 , kos
