Ime sestavine,Kolicina,Enota
mletega svinjskega; govejega ali mešanega mesa,125.0,g
suhega riža,12.5,g
manjši jajci,0.25,kos
čebula,0.125,kos
česna,0.375,kos
večji ali 2 manjša korenčka (po želji),0.125,kos
sol; poper; mleta paprika (po okusu),1,kos
začimbne mešanice za sarmo (po želji),0.125,kos
glavi kislega zelja,0.25,kos
300-400 g na kose narezanih suhih dimljenih reber (po želji),1,kos
olje,1,kos
ostre moke,0.375,kos
2-3 žlice paradižnikove mezge,1,kos
mlete sladke paprike,0.125,kos
lovorjev list,0.125,kos
goveje jušne osnove,0.25,l
