Ime sestavine, Kolicina, Enota
olja (uporabimo lahko tudi svinjsko mast) , 1.0 , kos
čebuli , 0.5 , kos
svinjskega plečeta , 200.0 , g
mlete rdeče paprike , 0.5 , kos
česna , 0.5 , kos
paradižnikove mezge , 0.5 , kos
kislega zelja , 200.0 , g
sol; poper in mleta kumina po okusu , 1 , kos
lovorjev list , 0.25 , kos
približno 500 ml vode , 1 , kos
kisle smetane , 0.025 , l
ostre moke , 125.0 , g
soli , 0.125 , kos
starega kruha , 50.0 , g
mleka , 0.0625 , l
kvasa , 0.125 , kos
sladkorja , 0.25 , kos
jajce , 0.25 , kos
