Ime sestavine,Kolicina,Enota
gladke moke,33.333333333333336,g
pecilnega praška,0.041666666666666664,kos
hladnega; na kocke narezanega masla,16.666666666666668,g
sladkorja,8.333333333333334,g
soli,0.08333333333333333,kos
rumenjaki,0.25,kos
drobno naribane limonine lupinice,0.08333333333333333,kos
kisle smetane,8.333333333333334,g
beljaki,0.25,kos
limoninega soka,0.08333333333333333,kos
sladkorja,12.5,g
skute,41.666666666666664,g
vanilijevega sladkorja,0.08333333333333333,kos
moke (ali 2 žlici pšeničnega zdroba),3.3333333333333335,g
sladkor v prahu za posip,1,kos
