Ime sestavine,Kolicina,Enota
mandljeve moke,10.416666666666666,g
sladkorja,4.166666666666667,g
masla,4.166666666666667,g
soli,0.08333333333333333,kos
sladke smetane za stepanje,0.041666666666666664,l
pasirane skute,41.666666666666664,g
sladkorja,8.333333333333334,g
vanilijevega sladkorja,0.08333333333333333,kos
lističev želatine,0.5,kos
malin (sveže ali zamrznjene),33.333333333333336,g
sladkorja v prahu,2.5,g
lističi želatine,0.3333333333333333,kos
bele čokolade,4.166666666666667,g
sladke smetane ali smetane za kuhanje,0.0020833333333333333,l
