Ime sestavine, Kolicina, Enota
zmehčanega masla , 15.833333333333334 , g
sladkorja , 12.5 , g
vanilijevega sladkorja , 0.08333333333333333 , kos
drobno naribane limonine lupinice , 0.0625 , kos
jajca , 0.3333333333333333 , kos
skute , 66.66666666666667 , g
pšeničnega zdroba , 8.333333333333334 , g
vanilijevega pudinga (prašek) , 0.08333333333333333 , kos
pecilnega praška , 0.08333333333333333 , kos
soli , 0.08333333333333333 , kos
svežih ali zamrznjenih borovnic , 16.666666666666668 , g
sladkor v prahu za posip , 1 , kos
