Ime sestavine, Kolicina, Enota
gladke moke , 21.666666666666668 , g
sladkorja v prahu , 8.333333333333334 , g
naribane limonine lupinice , 0.08333333333333333 , kos
soli , 0.08333333333333333 , kos
hladnega; na kocke narezanega masla , 10.416666666666666 , g
rumenjak , 0.08333333333333333 , kos
hladne vode , 0.08333333333333333 , kos
skute , 33.333333333333336 , g
gostega jogurta , 8.333333333333334 , g
jajci , 0.16666666666666666 , kos
beljak , 0.08333333333333333 , kos
naribane limonine lupinice , 0.08333333333333333 , kos
sladkorja , 8.333333333333334 , g
vanilijevega sladkorja , 0.08333333333333333 , kos
gustina , 0.08333333333333333 , kos
4-5 breskev , 1 , kos
limonin sok , 1 , kos
