Ime sestavine,Kolicina,Enota
pšenične bele moke,8.333333333333334,g
polnozrnate pšenične moke,8.333333333333334,g
pecilnega praška,0.16666666666666666,kos
posušenega ali svežega koprca,0.16666666666666666,kos
česna v prahu,0.08333333333333333,kos
soli,0.041666666666666664,kos
veliko jajce,0.08333333333333333,kos
mleka ali jogurta,0.016666666666666666,l
olivnega olja,0.3333333333333333,kos
srednje velika bučka,0.08333333333333333,kos
feta sira,12.5,g
olja ali masla za pekač,0.16666666666666666,kos
