Ime sestavine, Kolicina, Enota
moke , 10.416666666666666 , g
nesladkanega kakava v prahu , 3.3333333333333335 , g
sode bikarbone , 0.041666666666666664 , kos
soli , 0.08333333333333333 , kos
sladkorja , 15.0 , g
pinjenca (lahko uporabite tudi jogurt) , 0.01 , l
olja , 0.006666666666666667 , l
jajce , 0.08333333333333333 , kos
kave , 0.01 , l
vanilijevega ekstrakta , 0.08333333333333333 , kos
sladkorja , 15.0 , g
sladke smetane , 0.016666666666666666 , l
masla , 1.6666666666666667 , g
praženih; nesoljenih arašidov , 7.5 , g
kremnega sira , 12.5 , g
zmehčanega masla , 6.25 , g
gladkega arašidovega masla , 10.416666666666666 , g
hladne smetane za stepanje , 0.008333333333333333 , l
vanilijevega izvlečka , 0.08333333333333333 , kos
sladkorja v prahu (po želji več ali manj) , 5.0 , g
