Ime sestavine, Kolicina, Enota
listov (testenin) za lazanjo , 83.33333333333333 , g
ribanega parmezana , 33.333333333333336 , g
mozzarela sira , 33.333333333333336 , g
par žlic olivnega olja , 1 , kos
paradižnikovih pelatov (majhna) , 0.16666666666666666 , kos
sol in mleti poper (po okusu) , 1 , kos
različna sezonska zelenjava (paprika; mini paradižniki; bučka; jajčevec; čebula; česen; listi ohrovta; listi blitve) , 1 , kos
nekaj listov zelene , 1 , kos
nekaj listov bazilike , 1 , kos
masla , 0.16666666666666666 , kos
moke , 0.5 , kos
mleka , 0.11666666666666667 , l
sol in poper (po okusu) , 1 , kos
muškatnega oreščka , 0.16666666666666666 , kos
jajce , 0.16666666666666666 , kos
